Type,3,4,5,5.5,5.8,6,6.2,6.4,6.5,6.6,6.8,7,7.2,7.4,7.5,7.6,7.8,8,8.5,9,10
SMA 3:1,3.624,3.337,5.145,4.069,1.021,1.281,1.281,1.031,1.028,0.767,0.725,0.7,0.711,0.791,0.863,0.705,0.77,0.669,0.749,0.802,0.729
SMA 3:1,2.836,3.668,3.835,3.876,1.045,1.241,1.11,1.333,0.971,0.741,0.721,0.694,0.692,0.685,0.667,0.714,0.694,0.753,0.838,0.869,0.634
SMA 3:1,3.015,2.89,4.16,4.242,1.418,1.332,1.096,1.358,0.988,0.775,0.81,0.691,0.68,0.684,0.623,0.699,0.697,0.637,0.685,0.693,0.683
SMA 2:1,3.144,3.194,3.773,3.649,1.124,1.019,1.784,1.402,1.07,0.758,0.761,0.702,0.665,0.742,0.635,0.702,0.758,0.729,0.651,0.658,0.651
SMA 2:1,3.435,2.995,4.13,4.128,1.276,1.748,1.585,1.158,0.839,1.342,1.247,0.795,0.726,0.703,0.644,0.754,0.695,0.654,0.724,0.756,0.728
SMA 2:1,2.949,3.661,3.898,4.456,1.301,1.258,1.351,1.757,1.173,0.847,0.782,0.695,0.7,0.706,0.756,0.709,0.696,0.725,0.693,0.663,0.657
DIBMA,5.319,2.256,0.812,0.849,0.81,0.876,1.123,0.797,1.028,0.835,0.877,0.984,0.84,0.934,0.904,0.918,0.87,0.975,1.087,1.129,0.894
DIBMA,5.003,1.381,0.858,0.889,0.981,0.845,0.869,1.016,0.91,0.872,0.977,0.906,0.85,0.9,0.867,1.063,0.867,0.995,1.14,1.14,0.901
DIBMA,6.449,1.737,0.845,0.857,0.784,0.895,0.803,0.805,0.875,0.796,0.794,0.884,0.799,0.843,0.867,0.896,0.806,0.941,1.017,1.085,0.987
PMA,0.673,0.803,0.717,0.681,0.696,0.786,0.729,0.721,0.788,0.705,0.738,0.816,0.728,0.744,0.837,0.771,0.73,0.789,0.851,0.901,0.771
PMA,0.693,0.868,0.722,0.719,0.726,0.797,0.71,0.711,0.795,0.74,0.728,0.797,0.812,0.781,0.817,0.808,0.817,0.817,0.933,0.897,0.705
PMA,0.682,0.995,0.682,0.713,0.645,0.726,0.727,0.706,0.772,0.733,0.721,0.763,0.721,0.816,0.725,0.746,0.726,0.744,0.823,0.763,0.786
