pH,3:1 loc,3:1 err,2:1 loc,2:1 err,DIBMA loc,DIBMA err,PMA loc,PMA err
3,0.37,0.01,0.35,0.04,0.29,0.04,4.45,1.32
4,0.3,0.02,0.23,0.06,1.65,0.13,4.18,1.25
5,0.3,0.04,0.36,0.02,1.11,0.06,5.17,1.43
5.5,0.22,0.03,0.32,0.04,8.23,0.63,4.61,1.44
5.8,0.63,0.02,3.84,1.24,6.76,2.75,4.4,1.46
6,12.92,1.65,4.83,1.2,5.83,2.17,3.83,1.54
6.2,11.77,1.1,14.35,2.63,5.85,2.53,4.02,1.48
6.4,12.69,2.32,13.82,3.54,6.03,2.34,4.24,1.69
6.5,14.88,4.58,12.11,5.25,6.53,0.41,4.25,1.45
6.6,12.75,1.2,13.09,2.78,5.73,2.48,4.32,1.61
6.8,12.53,1.83,13.28,4.47,5.69,2.4,3.67,1.62
7,8.08,1.7,10.22,5.08,5.23,2.14,4.35,1.6
7.2,12.88,5.39,4.1,2.89,5.2,2.28,4.55,1.58
7.4,4.12,2.22,4.32,1.86,5.93,2.47,4.64,1.72
7.5,4.33,2.6,4.82,2.94,5.55,0.35,4.2,1.41
7.6,3.96,1.3,3.66,1.43,7.01,2.6,4.52,1.69
7.8,3.41,1.15,3.83,1.13,4.7,2.26,4.75,1.68
8,3.8,1.36,3.16,0.98,5.28,2.11,4.57,1.6
8.5,2.98,1.02,2.91,0.97,5.22,0.27,4.2,1.24
9,2.97,1,2.88,0.95,6.33,0.42,3.31,1.19
10,2.47,0.96,2.77,0.87,3.1,0.15,3.91,1.53
