Type,3,4,5,5.5,5.8,6,6.2,6.4,6.5,6.6,68,7,7.2,7.4,7.5,7.6,7.8,8,8.5,9,10
SMA 3:1,3.113,4.562,6.614,5.181,2.94,3.356,2.684,1.373,1.237,1.207,1.142,0.904,0.747,0.835,0.795,0.79,0.829,0.85,1.327,2.164,1.407
SMA 3:1,4.405,2.969,5.68,4.403,3.073,3.212,2.758,1.586,1.704,1.28,0.975,0.935,0.782,0.742,0.778,0.794,0.782,0.819,1.285,1.96,1.409
SMA 3:1,4.076,2.965,6.38,5.139,3.1,3.344,2.702,1.313,1.581,1.117,1.005,0.948,0.796,0.833,0.841,0.828,0.826,0.768,1.253,2.194,1.41
SMA 2:1,5.182,2.913,5.584,4.268,3.065,3.219,1.867,1.936,1.681,1.141,1.089,1.244,0.735,0.777,0.858,0.767,0.821,0.892,1.067,2.119,1.376
SMA 2:1,4.074,3.434,6.165,4.351,3.05,3.447,2.822,1.686,2.017,1.264,0.948,1.101,0.828,0.822,0.944,0.83,0.803,0.991,1.296,2.252,1.45
SMA 2:1,3.398,3.679,6.382,4.464,3.099,3.288,2.78,1.712,2.008,1.005,0.945,1.062,0.791,0.887,0.896,1.009,0.798,0.898,1.296,2.192,1.485
DIBMA,9.499,2.042,1.64,1.796,1.875,1.844,1.877,1.811,1.947,2.018,1.905,2.049,2.009,2.172,2.123,2.008,2.009,2.484,3.207,3.226,3.408
DIBMA,9.587,2.23,1.689,1.677,2.331,1.855,2.459,2.093,2.122,2.478,1.401,2.049,2.267,2.696,2.084,1.643,1.744,2.607,3.27,3.39,3.309
DIBMA,9.426,2.204,1.741,1.49,2.309,2.322,1.96,1.863,2.891,2.277,1.99,2.277,1.935,2.107,2.053,2.207,1.871,2.52,3.76,3.257,3.545
PMA,2.883,3.006,3.003,3.155,2.806,3.166,3.008,2.985,3.151,2.971,3.042,3.07,3.097,3.009,3.111,3.033,3.189,3.147,2.296,1.925,3.065
PMA,3.072,3.576,3.049,3.193,2.766,3.204,2.876,2.999,3.053,3.011,3.102,3.1,3.139,3.078,3.082,3.066,3.105,3.211,2.257,1.976,2.958
PMA,3.057,3.601,3.146,3.082,2.955,2.873,2.917,3.167,3.017,3.044,3.117,3.094,3.125,3.032,3.015,3.107,3.102,3.065,2.279,1.906,2.808
