     index            Field [G]         Intensity []

         1                 3270   -0.386173931675356
         2               3270.1   -0.387102498402632
         3               3270.2   -0.388432012304755
         4               3270.3   -0.389999970721943
         5               3270.4   -0.391510118767297
         6               3270.5   -0.392681002706715
         7               3270.6   -0.393443689238612
         8               3270.7   -0.393986659571383
         9               3270.8   -0.394578916916397
        10               3270.9   -0.395338123372254
        11                 3271   -0.396148793199501
        12               3271.1   -0.396777692028324
        13               3271.2   -0.397062912560694
        14               3271.3   -0.397006472951276
        15               3271.4   -0.396707466730225
        16               3271.5   -0.396227486333229
        17               3271.6   -0.395527880644567
        18               3271.7   -0.394527824432353
        19               3271.8    -0.39321545379139
        20               3271.9   -0.391710769106611
        21                 3272   -0.390232335451413
        22               3272.1   -0.388995249277625
        23               3272.2   -0.388112733660568
        24               3272.3   -0.387571267736807
        25               3272.4   -0.387296410252312
        26               3272.5    -0.38724367534272
        27               3272.6   -0.387412095100492
        28               3272.7   -0.387758961861342
        29               3272.8   -0.388126743293175
        30               3272.9   -0.388304998494153
        31                 3273   -0.388198722261529
        32               3273.1    -0.38793852598819
        33               3273.2   -0.387812256073406
        34               3273.3   -0.388063142262529
        35               3273.4   -0.388713991712955
        36               3273.5   -0.389556024510762
        37               3273.6   -0.390315391221283
        38               3273.7       -0.39087025751
        39               3273.8   -0.391347432590355
        40               3273.9   -0.392025607675615
        41                 3274   -0.393124639949555
        42               3274.1   -0.394635304686057
        43               3274.2    -0.39630441995436
        44               3274.3   -0.397786550443273
        45               3274.4   -0.398861289908412
        46               3274.5   -0.399554228359038
        47               3274.6   -0.400060061759085
        48               3274.7   -0.400534446678129
        49               3274.8   -0.400946509060937
        50               3274.9   -0.401122959353938
        51                 3275   -0.400923236941035
        52               3275.1   -0.400372427733131
        53               3275.2   -0.399650931870966
        54               3275.3   -0.398981342369832
        55               3275.4   -0.398508468196043
        56               3275.5   -0.398236471084567
        57               3275.6   -0.398050646837706
        58               3275.7   -0.397820102126934
        59               3275.8   -0.397519876436123
        60               3275.9   -0.397272655428783
        61                 3276   -0.397265340483815
        62               3276.1     -0.3976068529289
        63               3276.2   -0.398240467596055
        64               3276.3   -0.398967415693214
        65               3276.4   -0.399552374615771
        66               3276.5   -0.399834235452561
        67               3276.6   -0.399770931820923
        68               3276.7   -0.399404549824781
        69               3276.8   -0.398806742768624
        70               3276.9   -0.398068599429269
        71                 3277   -0.397316787461272
        72               3277.1   -0.396686162216035
        73               3277.2   -0.396240550948153
        74               3277.3   -0.395918803228464
        75               3277.4   -0.395573132262712
        76               3277.5   -0.395081059014697
        77               3277.6   -0.394444996846974
        78               3277.7   -0.393793006456025
        79               3277.8   -0.393266393926947
        80               3277.9   -0.392889159266765
        81                 3278   -0.392554750193899
        82               3278.1   -0.392161500768412
        83               3278.2   -0.391772332894522
        84               3278.3   -0.391638377585235
        85               3278.4    -0.39204570211257
        86               3278.5   -0.393099218071931
        87               3278.6   -0.394619596963186
        88               3278.7   -0.396245825526007
        89               3278.8    -0.39765976616204
        90               3278.9   -0.398738733781382
        91                 3279   -0.399523307384715
        92               3279.1   -0.400073231323704
        93               3279.2   -0.400365718743623
        94               3279.3   -0.400309753889601
        95               3279.4   -0.399837137107711
        96               3279.5    -0.39899149087536
        97               3279.6    -0.39795421514792
        98               3279.7   -0.396981782174324
        99               3279.8   -0.396278418601111
       100               3279.9   -0.395883079724337
       101                 3280    -0.39566586401603
       102               3280.1   -0.395458386288989
       103               3280.2   -0.395211240731111
       104               3280.3   -0.395019976472882
       105               3280.4   -0.394994060992507
       106               3280.5   -0.395127034393692
       107               3280.6   -0.395313811016458
       108               3280.7   -0.395462657162537
       109               3280.8    -0.39554576268685
       110               3280.9    -0.39555402325662
       111                 3281   -0.395461666986192
       112               3281.1   -0.395262996488349
       113               3281.2   -0.395016336355389
       114               3281.3   -0.394822526886437
       115               3281.4   -0.394765582291282
       116               3281.5   -0.394881281776501
       117               3281.6   -0.395153208283626
       118               3281.7   -0.395500618273661
       119               3281.8   -0.395785381662953
       120               3281.9   -0.395897730702021
       121                 3282   -0.395881254828858
       122               3282.1   -0.395955318007164
       123               3282.2   -0.396361403756124
       124               3282.3   -0.397139579982379
       125               3282.4   -0.398026582433603
       126               3282.5   -0.398578007498528
       127               3282.6   -0.398443128012823
       128               3282.7   -0.397593192254315
       129               3282.8   -0.396325768932206
       130               3282.9   -0.395050166685805
       131                 3283   -0.394051186372797
       132               3283.1   -0.393427632788723
       133               3283.2   -0.393200167584005
       134               3283.3   -0.393407775326606
       135               3283.4   -0.394061638785207
       136               3283.5   -0.395028602546179
       137               3283.6   -0.396021059580937
       138               3283.7   -0.396747992971702
       139               3283.8    -0.39708470169163
       140               3283.9   -0.397091052037152
       141                 3284   -0.396881750839645
       142               3284.1   -0.396509057740378
       143               3284.2   -0.395974939104147
       144               3284.3    -0.39532240656398
       145               3284.4   -0.394676202856349
       146               3284.5   -0.394184467317439
       147               3284.6    -0.39393400155817
       148               3284.7   -0.393930587043925
       149               3284.8   -0.394144104329272
       150               3284.9   -0.394533096346898
       151                 3285   -0.394997877364663
       152               3285.1   -0.395333029047389
       153               3285.2   -0.395291211826251
       154               3285.3   -0.394742432457292
       155               3285.4   -0.393766977193864
       156               3285.5   -0.392566782699653
       157               3285.6   -0.391284983870833
       158               3285.7   -0.389935094492835
       159               3285.8   -0.388518018332164
       160               3285.9   -0.387183734287459
       161                 3286   -0.386224963668875
       162               3286.1   -0.385869872487563
       163               3286.2    -0.38609166763639
       164               3286.3   -0.386668962708841
       165               3286.4   -0.387445290035093
       166               3286.5   -0.388483124676347
       167               3286.6   -0.389929061047378
       168               3286.7   -0.391761023331171
       169               3286.8   -0.393717823136715
       170               3286.9   -0.395470980879998
       171                 3287   -0.396823551871062
       172               3287.1   -0.397735868463526
       173               3287.2   -0.398206804321813
       174               3287.3   -0.398181820246184
       175               3287.4   -0.397585141248176
       176               3287.5   -0.396421991360838
       177               3287.6   -0.394846230221616
       178               3287.7   -0.393142315181728
       179               3287.8   -0.391628369940518
       180               3287.9   -0.390525107748128
       181                 3288   -0.389870707181673
       182               3288.1   -0.389543216128089
       183               3288.2    -0.38936215925151
       184               3288.3   -0.389188128999114
       185               3288.4   -0.388980489938234
       186               3288.5   -0.388810149480596
       187               3288.6   -0.388807633563158
       188               3288.7   -0.389050003714125
       189               3288.8   -0.389469859530657
       190               3288.9   -0.389875597573291
       191                 3289   -0.390064994466729
       192               3289.1   -0.389929544788497
       193               3289.2    -0.38947994874114
       194               3289.3   -0.388807695347801
       195               3289.4   -0.388034682607678
       196               3289.5   -0.387279883425427
       197               3289.6   -0.386638915988574
       198               3289.7   -0.386170983480567
       199               3289.8   -0.385908084816176
       200               3289.9   -0.385891651210167
       201                 3290   -0.386193354103471
       202               3290.1   -0.386869653233283
       203               3290.2   -0.387881187448209
       204               3290.3     -0.3890771305365
       205               3290.4   -0.390280675349245
       206               3290.5   -0.391383165261323
       207               3290.6   -0.392344885079681
       208               3290.7   -0.393132032119963
       209               3290.8   -0.393704425345591
       210               3290.9   -0.394082751478638
       211                 3291   -0.394388459064217
       212               3291.1   -0.394756943022142
       213               3291.2   -0.395179087210437
       214               3291.3   -0.395441106204821
       215               3291.4   -0.395257164982075
       216               3291.5   -0.394489002644916
       217               3291.6   -0.393248308393487
       218               3291.7   -0.391806246507823
       219               3291.8    -0.39043727523992
       220               3291.9   -0.389352299805345
       221                 3292   -0.388719374130983
       222               3292.1   -0.388660144277642
       223               3292.2   -0.389181080729925
       224               3292.3    -0.39011792990261
       225               3292.4   -0.391169231694574
       226               3292.5   -0.392004502943152
       227               3292.6   -0.392394062312481
       228               3292.7   -0.392327184821626
       229               3292.8   -0.392063742162751
       230               3292.9   -0.392025385544145
       231                 3293   -0.392523997375916
       232               3293.1   -0.393530085634183
       233               3293.2    -0.39472895654821
       234               3293.3   -0.395840095688507
       235               3293.4   -0.396863049502112
       236               3293.5   -0.397975970336595
       237               3293.6    -0.39921773100851
       238               3293.7   -0.400337187225552
       239               3293.8   -0.400983838719472
       240               3293.9   -0.401019572188673
       241                 3294   -0.400620834055509
       242               3294.1   -0.400091010383817
       243               3294.2   -0.399594748667849
       244               3294.3    -0.39907301214438
       245               3294.4   -0.398398027981823
       246               3294.5   -0.397589727813254
       247               3294.6   -0.396865802206446
       248               3294.7   -0.396483943202763
       249               3294.8   -0.396553912372529
       250               3294.9   -0.397002286459619
       251                 3295   -0.397678246405162
       252               3295.1   -0.398446067702087
       253               3295.2   -0.399172015947557
       254               3295.3   -0.399666112410307
       255               3295.4   -0.399692508337772
       256               3295.5   -0.399077295221868
       257               3295.6   -0.397831186950424
       258               3295.7   -0.396183836619104
       259               3295.8   -0.394504813307021
       260               3295.9   -0.393168376272232
       261                 3296   -0.392428730005293
       262               3296.1   -0.392341743361226
       263               3296.2   -0.392760281276172
       264               3296.3   -0.393421588607917
       265               3296.4   -0.394089404214169
       266               3296.5   -0.394656882109907
       267               3296.6   -0.395142674613991
       268               3296.7   -0.395602396548189
       269               3296.8   -0.396033030678972
       270               3296.9   -0.396331942185366
       271                 3297   -0.396330768551483
       272               3297.1   -0.395889737223875
       273               3297.2   -0.395003302708767
       274               3297.3   -0.393846412890683
       275               3297.4    -0.39271590824245
       276               3297.5   -0.391888630382757
       277               3297.6   -0.391478380135639
       278               3297.7   -0.391384842422335
       279               3297.8   -0.391375312541429
       280               3297.9   -0.391247049978488
       281                 3298   -0.390952288631293
       282               3298.1   -0.390597366923577
       283               3298.2   -0.390333175944951
       284               3298.3   -0.390235943870166
       285               3298.4   -0.390270374965857
       286               3298.5   -0.390357116740193
       287               3298.6   -0.390484357644615
       288               3298.7   -0.390752087761766
       289               3298.8   -0.391277963738908
       290               3298.9   -0.392032982051379
       291                 3299   -0.392775625477963
       292               3299.1   -0.393172027893062
       293               3299.2   -0.393004703407207
       294               3299.3   -0.392297960860507
       295               3299.4   -0.391282478729682
       296               3299.5   -0.390248925722683
       297               3299.6   -0.389395159901127
       298               3299.7   -0.388761967588869
       299               3299.8   -0.388293723951726
       300               3299.9   -0.387960602784662
       301                 3300   -0.387818458029561
       302               3300.1   -0.387948190277293
       303               3300.2    -0.38835118748652
       304               3300.3   -0.388921807830055
       305               3300.4   -0.389516905412049
       306               3300.5   -0.390023790871763
       307               3300.6   -0.390344618243093
       308               3300.7   -0.390347575329605
       309               3300.8   -0.389901752688134
       310               3300.9   -0.389004389849484
       311                 3301   -0.387858351777345
       312               3301.1   -0.386776699068176
       313               3301.2   -0.385978296544121
       314               3301.3   -0.385467398612338
       315               3301.4   -0.385103755594012
       316               3301.5   -0.384772084550411
       317               3301.6   -0.384474506942128
       318               3301.7   -0.384276720074767
       319               3301.8   -0.384202946149736
       320               3301.9   -0.384211514705512
       321                 3302   -0.384264031790033
       322               3302.1   -0.384384617298989
       323               3302.2   -0.384640407434747
       324               3302.3   -0.385095125163195
       325               3302.4   -0.385804129178686
       326               3302.5   -0.386815506579595
       327               3302.6   -0.388109344115621
       328               3302.7   -0.389523085197189
       329               3302.8   -0.390787654023778
       330               3302.9   -0.391683106859779
       331                 3303   -0.392156758129953
       332               3303.1   -0.392273329503386
       333               3303.2   -0.392070894053431
       334               3303.3   -0.391511903952992
       335               3303.4   -0.390589446113837
       336               3303.5   -0.389446835069119
       337               3303.6    -0.38835586385054
       338               3303.7   -0.387572667661669
       339               3303.8   -0.387216053744617
       340               3303.9   -0.387258712559521
       341                 3304     -0.3875919954054
       342               3304.1   -0.388080947939418
       343               3304.2   -0.388591427309482
       344               3304.3   -0.389032456742633
       345               3304.4   -0.389417726188911
       346               3304.5   -0.389869563506963
       347               3304.6   -0.390514985740893
       348               3304.7   -0.391359271140496
       349               3304.8   -0.392280475702791
       350               3304.9   -0.393161612761562
       351                 3305   -0.394016190482349
       352               3305.1   -0.394969465593222
       353               3305.2   -0.396115627424085
       354               3305.3   -0.397391421897303
       355               3305.4    -0.39857551509421
       356               3305.5   -0.399403668407646
       357               3305.6   -0.399704095206732
       358               3305.7   -0.399456516142663
       359               3305.8   -0.398748423893227
       360               3305.9   -0.397696680997023
       361                 3306   -0.396434121661156
       362               3306.1   -0.395170214961932
       363               3306.2   -0.394212421100476
       364               3306.3   -0.393847035055738
       365               3306.4   -0.394137142423392
       366               3306.5   -0.394821090526187
       367               3306.6   -0.395436052169422
       368               3306.7   -0.395595288592202
       369               3306.8   -0.395204130837222
       370               3306.9   -0.394452348131922
       371                 3307   -0.393621318602956
       372               3307.1   -0.392894410828152
       373               3307.2    -0.39231951901344
       374               3307.3   -0.391904013135134
       375               3307.4   -0.391700167513425
       376               3307.5   -0.391779422868808
       377               3307.6   -0.392144532434918
       378               3307.7   -0.392703739272427
       379               3307.8   -0.393327895617239
       380               3307.9   -0.393886260187198
       381                 3308   -0.394214798434462
       382               3308.1   -0.394118771183998
       383               3308.2   -0.393489656890833
       384               3308.3   -0.392439945792085
       385               3308.4   -0.391298965562085
       386               3308.5   -0.390455041459322
       387               3308.6   -0.390172109494331
       388               3308.7   -0.390497718739144
       389               3308.8   -0.391282785453776
       390               3308.9   -0.392272898358188
       391                 3309   -0.393222837972982
       392               3309.1   -0.393985378809194
       393               3309.2   -0.394525373532652
       394               3309.3   -0.394847037196546
       395               3309.4   -0.394895638262335
       396               3309.5   -0.394528488340715
       397               3309.6   -0.393587563221741
       398               3309.7   -0.392011713241708
       399               3309.8   -0.389908292374421
       400               3309.9   -0.387556033882927
       401                 3310    -0.38534073458022
       402               3310.1   -0.383623814146972
       403               3310.2   -0.382583609551372
       404               3310.3   -0.382129012744533
       405               3310.4   -0.381953146114223
       406               3310.5   -0.381680940170382
       407               3310.6   -0.381015878375068
       408               3310.7   -0.379847191747118
       409               3310.8   -0.378309602892337
       410               3310.9   -0.376741791277427
       411                 3311   -0.375500909028191
       412               3311.1   -0.374733092407783
       413               3311.2   -0.374303494077368
       414               3311.3   -0.373960675410789
       415               3311.4   -0.373561234859729
       416               3311.5    -0.37313096772449
       417               3311.6   -0.372761960160927
       418               3311.7   -0.372529757654043
       419               3311.8   -0.372513632101736
       420               3311.9   -0.372804455984041
       421                 3312   -0.373408518334328
       422               3312.1   -0.374149289220936
       423               3312.2   -0.374713937751793
       424               3312.3    -0.37482000728448
       425               3312.4   -0.374351797604977
       426               3312.5   -0.373386059125976
       427               3312.6   -0.372136423831564
       428               3312.7   -0.370852512218217
       429               3312.8   -0.369697515346846
       430               3312.9   -0.368675691373921
       431                 3313   -0.367682067759345
       432               3313.1   -0.366630023042028
       433               3313.2   -0.365521709896116
       434               3313.3   -0.364402156684623
       435               3313.4   -0.363282872562825
       436               3313.5   -0.362139001775156
       437               3313.6   -0.360964554898824
       438               3313.7   -0.359791953309835
       439               3313.8   -0.358650951104999
       440               3313.9   -0.357541351111526
       441                 3314   -0.356466418288708
       442               3314.1   -0.355466031876899
       443               3314.2   -0.354576982629433
       444               3314.3   -0.353757574082603
       445               3314.4   -0.352878829167305
       446               3314.5   -0.351806658325153
       447               3314.6   -0.350489290733636
       448               3314.7   -0.348967667943578
       449               3314.8   -0.347323219112469
       450               3314.9   -0.345634883742732
       451                 3315    -0.34397785078567
       452               3315.1   -0.342430981839514
       453               3315.2   -0.341052062328404
       454               3315.3   -0.339827507301474
       455               3315.4   -0.338643994961238
       456               3315.5   -0.337318443631902
       457               3315.6   -0.335669235632388
       458               3315.7   -0.333572191677975
       459               3315.8   -0.330967383333935
       460               3315.9   -0.327841069007615
       461                 3316    -0.32422706948337
       462               3316.1   -0.320233009546225
       463               3316.2   -0.316053483949098
       464               3316.3   -0.311933840377946
       465               3316.4   -0.308087273260606
       466               3316.5   -0.304607766990921
       467               3316.6   -0.301435646823196
       468               3316.7   -0.298408383567657
       469               3316.8   -0.295369719274398
       470               3316.9   -0.292255956720176
       471                 3317    -0.28909084726727
       472               3317.1   -0.285901375794976
       473               3317.2   -0.282635816655273
       474               3317.3   -0.279159347308597
       475               3317.4   -0.275338708520597
       476               3317.5   -0.271152912622663
       477               3317.6   -0.266726979268403
       478               3317.7   -0.262235966888277
       479               3317.8   -0.257760004401059
       480               3317.9   -0.253248617724461
       481                 3318   -0.248649563235842
       482               3318.1   -0.244068115932586
       483               3318.2   -0.239775686472313
       484               3318.3   -0.236045840574926
       485               3318.4   -0.232976920602346
       486               3318.5   -0.230466588813079
       487               3318.6   -0.228344164151944
       488               3318.7   -0.226515988914325
       489               3318.8   -0.224986070789206
       490               3318.9   -0.223763934747451
       491                 3319   -0.222795605341552
       492               3319.1   -0.222004938467441
       493               3319.2   -0.221379171192753
       494               3319.3   -0.220989553119863
       495               3319.4   -0.220956411482102
       496               3319.5   -0.221443731473326
       497               3319.6   -0.222668824514094
