     index            Field [G]         Intensity []

         1                 3270   -0.396861611287998
         2               3270.1   -0.395259241243844
         3               3270.2   -0.393674641090951
         4               3270.3   -0.392278269475848
         5               3270.4   -0.391217327472908
         6               3270.5   -0.390534216652971
         7               3270.6   -0.390139763041001
         8               3270.7   -0.389886916680361
         9               3270.8   -0.389688453794404
        10               3270.9   -0.389573945402856
        11                 3271   -0.389643784270201
        12               3271.1   -0.389974697014911
        13               3271.2   -0.390565501356045
        14               3271.3   -0.391357589965883
        15               3271.4   -0.392287218774038
        16               3271.5   -0.393304449574752
        17               3271.6   -0.394335204151835
        18               3271.7    -0.39522691209792
        19               3271.8   -0.395753226436063
        20               3271.9   -0.395714527361644
        21                 3272   -0.395073343120236
        22               3272.1   -0.394007291518324
        23               3272.2   -0.392826363913085
        24               3272.3   -0.391827053158142
        25               3272.4   -0.391202238000306
        26               3272.5   -0.391043810282212
        27               3272.6   -0.391366733732778
        28               3272.7   -0.392078951344966
        29               3272.8   -0.392927990305225
        30               3272.9   -0.393539593190253
        31                 3273   -0.393600053743561
        32               3273.1   -0.393067411960329
        33               3273.2   -0.392221266050589
        34               3273.3   -0.391490367011702
        35               3273.4   -0.391202217224798
        36               3273.5    -0.39144988303259
        37               3273.6   -0.392125797892564
        38               3273.7   -0.393024358126404
        39               3273.8   -0.393925031966616
        40               3273.9   -0.394654332903949
        41                 3274   -0.395130372246935
        42               3274.1   -0.395350245635453
        43               3274.2   -0.395323897982834
        44               3274.3   -0.395043663869829
        45               3274.4   -0.394540073613071
        46               3274.5   -0.393942613717869
        47               3274.6   -0.393445119348003
        48               3274.7   -0.393200968898119
        49               3274.8   -0.393252203171984
        50               3274.9   -0.393539412452808
        51                 3275   -0.393964877380872
        52               3275.1   -0.394472979509733
        53               3275.2   -0.395109202831074
        54               3275.3    -0.39600053164596
        55               3275.4   -0.397245677833284
        56               3275.5   -0.398805425659652
        57               3275.6   -0.400495927898404
        58               3275.7    -0.40206793913483
        59               3275.8   -0.403270489668485
        60               3275.9   -0.403870337899417
        61                 3276   -0.403701709677756
        62               3276.1   -0.402779860732942
        63               3276.2     -0.4013804207885
        64               3276.3   -0.399960646158906
        65               3276.4   -0.398933413859595
        66               3276.5   -0.398451828978976
        67               3276.6   -0.398364674560626
        68               3276.7   -0.398362152403002
        69               3276.8   -0.398187416897707
        70               3276.9   -0.397769997903275
        71                 3277   -0.397230010847979
        72               3277.1   -0.396790711721805
        73               3277.2   -0.396656828849793
        74               3277.3   -0.396907202689345
        75               3277.4   -0.397448382957307
        76               3277.5    -0.39805249682734
        77               3277.6   -0.398449913171731
        78               3277.7   -0.398422737824677
        79               3277.8    -0.39787611471238
        80               3277.9   -0.396886535827083
        81                 3278   -0.395693528154273
        82               3278.1   -0.394588511473922
        83               3278.2   -0.393743851771398
        84               3278.3   -0.393124717590156
        85               3278.4   -0.392570516272773
        86               3278.5   -0.391961185686955
        87               3278.6   -0.391316781010747
        88               3278.7   -0.390777962638578
        89               3278.8   -0.390511674902048
        90               3278.9   -0.390595516524067
        91                 3279   -0.390947737560939
        92               3279.1   -0.391386616239318
        93               3279.2   -0.391802329985151
        94               3279.3   -0.392271327157137
        95               3279.4   -0.392974822870959
        96               3279.5   -0.394007431864866
        97               3279.6   -0.395287825718326
        98               3279.7   -0.396644436343546
        99               3279.8   -0.397940817759471
       100               3279.9   -0.399092388125982
       101                 3280    -0.39999462654723
       102               3280.1   -0.400497264274729
       103               3280.2   -0.400485588590975
       104               3280.3   -0.399980626876449
       105               3280.4   -0.399128761073993
       106               3280.5   -0.398059112116261
       107               3280.6   -0.396733859592309
       108               3280.7    -0.39495986709731
       109               3280.8   -0.392600519441218
       110               3280.9   -0.389817050560964
       111                 3281   -0.387101466002662
       112               3281.1   -0.385046043191874
       113               3281.2   -0.384039857442987
       114               3281.3   -0.384118474274598
       115               3281.4   -0.385013808430385
       116               3281.5   -0.386300161166899
       117               3281.6   -0.387548374534533
       118               3281.7   -0.388466570367815
       119               3281.8   -0.388991714299923
       120               3281.9   -0.389264594247086
       121                 3282   -0.389487320272841
       122               3282.1   -0.389775559714544
       123               3282.2   -0.390126570603481
       124               3282.3   -0.390504074254461
       125               3282.4   -0.390929841146764
       126               3282.5   -0.391486826217474
       127               3282.6   -0.392240022402407
       128               3282.7   -0.393151529582484
       129               3282.8   -0.394063605650091
       130               3282.9   -0.394778878063854
       131                 3283   -0.395195343564575
       132               3283.1   -0.395386289529791
       133               3283.2   -0.395542907850922
       134               3283.3   -0.395831999300498
       135               3283.4   -0.396306619566177
       136               3283.5   -0.396929073861315
       137               3283.6   -0.397636217911714
       138               3283.7   -0.398363084654613
       139               3283.8   -0.399025236677306
       140               3283.9   -0.399513127243241
       141                 3284   -0.399725086739112
       142               3284.1   -0.399611055849348
       143               3284.2   -0.399179517066366
       144               3284.3     -0.3984600908887
       145               3284.4    -0.39747773404874
       146               3284.5   -0.396299153939418
       147               3284.6   -0.395123387496747
       148               3284.7   -0.394293792803719
       149               3284.8   -0.394144530335001
       150               3284.9   -0.394770296533251
       151                 3285   -0.395935316951951
       152               3285.1     -0.3972290674643
       153               3285.2   -0.398324538931617
       154               3285.3   -0.399105123353287
       155               3285.4   -0.399605578033122
       156               3285.5   -0.399908835751718
       157               3285.6    -0.40010989403086
       158               3285.7    -0.40030578759796
       159               3285.8   -0.400544268130305
       160               3285.9   -0.400767765206291
       161                 3286   -0.400831061807128
       162               3286.1   -0.400590613220507
       163               3286.2   -0.399989576244213
       164               3286.3   -0.399084487495244
       165               3286.4   -0.398020750514048
       166               3286.5   -0.396982396634525
       167               3286.6    -0.39612153266669
       168               3286.7   -0.395478558132217
       169               3286.8   -0.394949839186809
       170               3286.9   -0.394362556988609
       171                 3287   -0.393618739733964
       172               3287.1   -0.392774905806168
       173               3287.2   -0.391978267250916
       174               3287.3   -0.391336704914697
       175               3287.4   -0.390856292743268
       176               3287.5    -0.39047724723751
       177               3287.6   -0.390134583269504
       178               3287.7   -0.389788646534202
       179               3287.8   -0.389440939677852
       180               3287.9   -0.389150091819635
       181                 3288   -0.389011408320605
       182               3288.1   -0.389075226182366
       183               3288.2   -0.389269600031078
       184               3288.3   -0.389432405512865
       185               3288.4   -0.389454913463216
       186               3288.5   -0.389398875261554
       187               3288.6   -0.389458001624587
       188               3288.7   -0.389797879261404
       189               3288.8   -0.390428499150388
       190               3288.9    -0.39120657457294
       191                 3289   -0.391925462960785
       192               3289.1   -0.392394109533994
       193               3289.2   -0.392459095379778
       194               3289.3   -0.391996676656148
       195               3289.4   -0.390928302540174
       196               3289.5   -0.389283711211627
       197               3289.6   -0.387270790011107
       198               3289.7    -0.38527020440918
       199               3289.8   -0.383719430263045
       200               3289.9   -0.382954485975281
       201                 3290   -0.383117127032564
       202               3290.1   -0.384157648586666
       203               3290.2   -0.385869786221514
       204               3290.3   -0.387906207720229
       205               3290.4   -0.389815762072794
       206               3290.5   -0.391175862818388
       207               3290.6   -0.391794846450926
       208               3290.7    -0.39183468284072
       209               3290.8   -0.391716182650836
       210               3290.9   -0.391836384343949
       211                 3291   -0.392297512522057
       212               3291.1    -0.39285525810517
       213               3291.2   -0.393123114196464
       214               3291.3   -0.392862017352175
       215               3291.4   -0.392127532369116
       216               3291.5   -0.391192927253058
       217               3291.6   -0.390363441838786
       218               3291.7   -0.389849205554736
       219               3291.8   -0.389751919880415
       220               3291.9    -0.39009720269843
       221                 3292   -0.390837770173323
       222               3292.1   -0.391833139919198
       223               3292.2   -0.392861786636899
       224               3292.3   -0.393686420847007
       225               3292.4   -0.394132353341955
       226               3292.5   -0.394134776611764
       227               3292.6   -0.393754379986143
       228               3292.7   -0.393175711993243
       229               3292.8   -0.392672894744579
       230               3292.9   -0.392524140740167
       231                 3293    -0.39290823310458
       232               3293.1   -0.393843636814295
       233               3293.2   -0.395184334357433
       234               3293.3   -0.396644306953215
       235               3293.4   -0.397854277969429
       236               3293.5   -0.398483905992742
       237               3293.6   -0.398396741888327
       238               3293.7   -0.397717174503544
       239               3293.8    -0.39672886999129
       240               3293.9   -0.395684471648965
       241                 3294   -0.394702923622666
       242               3294.1   -0.393835590166402
       243               3294.2   -0.393190826275996
       244               3294.3   -0.392940171567964
       245               3294.4   -0.393177439980783
       246               3294.5   -0.393793487934261
       247               3294.6   -0.394523955918239
       248               3294.7   -0.395129474243997
       249               3294.8   -0.395529708740172
       250               3294.9   -0.395789177186168
       251                 3295   -0.396011924261143
       252               3295.1   -0.396254338552868
       253               3295.2   -0.396512962252636
       254               3295.3   -0.396784233450505
       255               3295.4    -0.39713902217146
       256               3295.5   -0.397710539896871
       257               3295.6   -0.398551388188933
       258               3295.7   -0.399483303737497
       259               3295.8   -0.400137746068453
       260               3295.9   -0.400211818032328
       261                 3296   -0.399718531037743
       262               3296.1   -0.398992909459559
       263               3296.2   -0.398443198623185
       264               3296.3   -0.398255539373193
       265               3296.4   -0.398281412334621
       266               3296.5   -0.398180273401317
       267               3296.6   -0.397688433675147
       268               3296.7    -0.39679651775862
       269               3296.8   -0.395725288433025
       270               3296.9   -0.394777652558227
       271                 3297   -0.394198511897786
       272               3297.1   -0.394079910756133
       273               3297.2   -0.394306017136966
       274               3297.3   -0.394598573820032
       275               3297.4   -0.394706807742527
       276               3297.5   -0.394612506002329
       277               3297.6   -0.394530761860631
       278               3297.7   -0.394670412708738
       279               3297.8   -0.394984106092358
       280               3297.9   -0.395160261861265
       281                 3298   -0.394866040110892
       282               3298.1   -0.394021572025737
       283               3298.2   -0.392886218234708
       284               3298.3   -0.391912810121374
       285               3298.4   -0.391489724493378
       286               3298.5   -0.391738039828654
       287               3298.6   -0.392477833564151
       288               3298.7   -0.393375549953759
       289               3298.8   -0.394174120976781
       290               3298.9   -0.394845668512809
       291                 3299   -0.395559213827658
       292               3299.1   -0.396509237493737
       293               3299.2   -0.397766451056394
       294               3299.3   -0.399259309271756
       295               3299.4   -0.400836147998778
       296               3299.5   -0.402296661001682
       297               3299.6   -0.403385766800071
       298               3299.7   -0.403843771684085
       299               3299.8   -0.403548168773893
       300               3299.9   -0.402643062049386
       301                 3300   -0.401513722213346
       302               3300.1   -0.400576292504828
       303               3300.2   -0.400019331626093
       304               3300.3   -0.399713103048189
       305               3300.4   -0.399386036826797
       306               3300.5   -0.398908290381732
       307               3300.6   -0.398389163641401
       308               3300.7   -0.397996007167214
       309               3300.8   -0.397735097250684
       310               3300.9   -0.397471381316992
       311                 3301   -0.397141660517859
       312               3301.1   -0.396867610286254
       313               3301.2   -0.396828663289417
       314               3301.3   -0.397071226061498
       315               3301.4   -0.397474243165866
       316               3301.5   -0.397855987861449
       317               3301.6   -0.398065922120006
       318               3301.7   -0.398019570195828
       319               3301.8   -0.397753727563402
       320               3301.9   -0.397492226789059
       321                 3302   -0.397588017350128
       322               3302.1   -0.398298501338117
       323               3302.2   -0.399566792450958
       324               3302.3   -0.401018575192313
       325               3302.4   -0.402183486744297
       326               3302.5   -0.402758065175271
       327               3302.6   -0.402733031727788
       328               3302.7   -0.402343224405912
       329               3302.8   -0.401908611318197
       330               3302.9   -0.401662902410876
       331                 3303   -0.401643632556837
       332               3303.1   -0.401684125814023
       333               3303.2   -0.401515706291807
       334               3303.3   -0.400942542556233
       335               3303.4   -0.399990458859894
       336               3303.5   -0.398914511601677
       337               3303.6   -0.398043639475663
       338               3303.7   -0.397588101590416
       339               3303.8   -0.397571071244615
       340               3303.9   -0.397907481898178
       341                 3304   -0.398503854873302
       342               3304.1   -0.399276164040556
       343               3304.2   -0.400122447141384
       344               3304.3   -0.400934697443358
       345               3304.4   -0.401643776713676
       346               3304.5   -0.402229497858719
       347               3304.6   -0.402695431811036
       348               3304.7   -0.403074063737878
       349               3304.8   -0.403459755105517
       350               3304.9    -0.40397642058912
       351                 3305   -0.404657196573083
       352               3305.1    -0.40536394694233
       353               3305.2   -0.405857171926491
       354               3305.3   -0.405941346135675
       355               3305.4   -0.405530165408325
       356               3305.5   -0.404610929097898
       357               3305.6   -0.403216156018238
       358               3305.7   -0.401451016119621
       359               3305.8   -0.399504211270843
       360               3305.9   -0.397582860988171
       361                 3306   -0.395823028140482
       362               3306.1   -0.394266174617227
       363               3306.2   -0.392911708288482
       364               3306.3   -0.391768947931787
       365               3306.4   -0.390846212664549
       366               3306.5   -0.390109520768453
       367               3306.6   -0.389495066387565
       368               3306.7   -0.388988943151205
       369               3306.8   -0.388678677735757
       370               3306.9   -0.388695059597149
       371                 3307   -0.389104417692316
       372               3307.1   -0.389883512790638
       373               3307.2   -0.390989076376166
       374               3307.3   -0.392388744744514
       375               3307.4   -0.393978066555026
       376               3307.5   -0.395498606453153
       377               3307.6   -0.396613898462076
       378               3307.7   -0.397119619036688
       379               3307.8   -0.397094959927952
       380               3307.9   -0.396847422688399
       381                 3308   -0.396694032392728
       382               3308.1   -0.396753303740462
       383               3308.2   -0.396895187409291
       384               3308.3   -0.396866524600029
       385               3308.4   -0.396486019264039
       386               3308.5   -0.395764794857655
       387               3308.6   -0.394877103256884
       388               3308.7   -0.394025947360089
       389               3308.8   -0.393319435533751
       390               3308.9   -0.392743146783927
       391                 3309   -0.392226232795735
       392               3309.1   -0.391732235632525
       393               3309.2   -0.391299224022893
       394               3309.3   -0.391005946119426
       395               3309.4   -0.390912334505131
       396               3309.5   -0.391041361052441
       397               3309.6   -0.391401773814737
       398               3309.7   -0.391979300820913
       399               3309.8   -0.392661859478933
       400               3309.9   -0.393184502063345
       401                 3310   -0.393215143607509
       402               3310.1   -0.392568894490384
       403               3310.2   -0.391373679253749
       404               3310.3   -0.390015070855699
       405               3310.4   -0.388883384257351
       406               3310.5   -0.388134737168845
       407               3310.6   -0.387664191422971
       408               3310.7   -0.387292015931007
       409               3310.8   -0.386984016332586
       410               3310.9   -0.386920036873077
       411                 3311   -0.387366855486946
       412               3311.1   -0.388467392256109
       413               3311.2   -0.390108535655971
       414               3311.3   -0.391947899413239
       415               3311.4   -0.393552252175122
