     index            Field [G]         Intensity []

         1                 3270   -0.369900165949628
         2               3270.1   -0.370949765265012
         3               3270.2   -0.371999761939278
         4               3270.3   -0.372964980687223
         5               3270.4   -0.373736500472947
         6               3270.5   -0.374251836058396
         7               3270.6   -0.374548787846267
         8               3270.7    -0.37470655061191
         9               3270.8    -0.37470533170725
        10               3270.9   -0.374373125132849
        11                 3271   -0.373515663889877
        12               3271.1   -0.372120455794177
        13               3271.2   -0.370441382234379
        14               3271.3   -0.368888409052954
        15               3271.4   -0.367816050089282
        16               3271.5   -0.367361193511292
        17               3271.6   -0.367414137478614
        18               3271.7   -0.367706588891006
        19               3271.8   -0.367946061828397
        20               3271.9   -0.367932641094357
        21                 3272   -0.367622667960624
        22               3272.1   -0.367121121802767
        23               3272.2   -0.366605283713805
        24               3272.3   -0.366222223487672
        25               3272.4   -0.366021976518286
        26               3272.5   -0.365949194379406
        27               3272.6   -0.365864088029829
        28               3272.7   -0.365573812634503
        29               3272.8   -0.364906831177777
        30               3272.9   -0.363846459283336
        31                 3273   -0.362634141158359
        32               3273.1   -0.361707715667135
        33               3273.2     -0.3614716013533
        34               3273.3   -0.362069066243668
        35               3273.4   -0.363320710964135
        36               3273.5   -0.364832403429062
        37               3273.6    -0.36617378170161
        38               3273.7   -0.367051566355231
        39               3273.8   -0.367428672895941
        40               3273.9   -0.367521034952076
        41                 3274   -0.367633217288879
        42               3274.1      -0.367913604219
        43               3274.2   -0.368210576565224
        44               3274.3   -0.368164484428463
        45               3274.4   -0.367489894223544
        46               3274.5   -0.366240116918932
        47               3274.6   -0.364842548945005
        48               3274.7   -0.363855166429681
        49               3274.8   -0.363607464472901
        50               3274.9   -0.364000047051509
        51                 3275   -0.364630028345023
        52               3275.1   -0.365126337568741
        53               3275.2    -0.36537990307638
        54               3275.3   -0.365479091187863
        55               3275.4   -0.365488681999489
        56               3275.5   -0.365351514122275
        57               3275.6   -0.364992289532836
        58               3275.7   -0.364444423902776
        59               3275.8   -0.363822720986955
        60               3275.9   -0.363182404157789
        61                 3276   -0.362448641537465
        62               3276.1   -0.361515772882336
        63               3276.2   -0.360418744210924
        64               3276.3    -0.35938731865695
        65               3276.4   -0.358703151272518
        66               3276.5   -0.358481634265604
        67               3276.6   -0.358582085908958
        68               3276.7   -0.358723395022758
        69               3276.8   -0.358693344007016
        70               3276.9   -0.358485439944869
        71                 3277   -0.358285877081236
        72               3277.1   -0.358335274495759
        73               3277.2   -0.358750083352712
        74               3277.3   -0.359427007869186
        75               3277.4   -0.360122642554951
        76               3277.5   -0.360653013861363
        77               3277.6    -0.36102282368886
        78               3277.7   -0.361361289160495
        79               3277.8   -0.361762088985499
        80               3277.9   -0.362225953953297
        81                 3278   -0.362752272742505
        82               3278.1   -0.363424098083946
        83               3278.2   -0.364349134571713
        84               3278.3   -0.365522653411727
        85               3278.4   -0.366780990745319
        86               3278.5   -0.367888307658125
        87               3278.6   -0.368644646936913
        88               3278.7   -0.368932789132138
        89               3278.8   -0.368746027432415
        90               3278.9   -0.368237583545141
        91                 3279    -0.36771994819682
        92               3279.1   -0.367534864675695
        93               3279.2   -0.367860298556519
        94               3279.3   -0.368616837901644
        95               3279.4   -0.369547770554855
        96               3279.5   -0.370390002185505
        97               3279.6   -0.370996651123914
        98               3279.7   -0.371340201422375
        99               3279.8   -0.371435755263829
       100               3279.9   -0.371285163978286
       101                 3280   -0.370897205327501
       102               3280.1   -0.370334492597175
       103               3280.2   -0.369710384135668
       104               3280.3   -0.369140697884713
       105               3280.4   -0.368709064341534
       106               3280.5   -0.368456892600118
       107               3280.6   -0.368370808049536
       108               3280.7   -0.368385302623974
       109               3280.8   -0.368436320042829
       110               3280.9   -0.368520744984177
       111                 3281   -0.368670824029557
       112               3281.1   -0.368858655080165
       113               3281.2   -0.368970313421881
       114               3281.3   -0.368923567817875
       115               3281.4   -0.368800333298909
       116               3281.5   -0.368804591847377
       117               3281.6   -0.369051867479172
       118               3281.7   -0.369408897951022
       119               3281.8   -0.369559583092957
       120               3281.9   -0.369240098914828
       121                 3282   -0.368444443182933
       122               3282.1   -0.367458980126938
       123               3282.2   -0.366712138493616
       124               3282.3   -0.366521965940322
       125               3282.4    -0.36689420308957
       126               3282.5   -0.367523242358519
       127               3282.6   -0.368010097056571
