     index            Field [G]         Intensity []

         1                 3270   -0.392092016544602
         2               3270.1   -0.392590605873881
         3               3270.2   -0.393072259045895
         4               3270.3   -0.393619226576644
         5               3270.4   -0.394296486121921
         6               3270.5   -0.395088876049996
         7               3270.6   -0.395910940654471
         8               3270.7   -0.396698954438519
         9               3270.8   -0.397451251846177
        10               3270.9   -0.398128678325745
        11                 3271   -0.398552084334487
        12               3271.1   -0.398496099611025
        13               3271.2   -0.397934900765792
        14               3271.3   -0.397155048638152
        15               3271.4   -0.396561674426139
        16               3271.5   -0.396354976677141
        17               3271.6   -0.396407644790627
        18               3271.7    -0.39645271485894
        19               3271.8   -0.396371597053401
        20               3271.9   -0.396296060948463
        21                 3272    -0.39644479853717
        22               3272.1   -0.396875287037845
        23               3272.2   -0.397398273677781
        24               3272.3   -0.397720932832032
        25               3272.4    -0.39764816438906
        26               3272.5    -0.39713887894948
        27               3272.6   -0.396213440756987
        28               3272.7   -0.394884283544095
        29               3272.8   -0.393216645627558
        30               3272.9    -0.39142686748551
        31                 3273   -0.389862922058571
        32               3273.1    -0.38884767506044
        33               3273.2   -0.388507742057188
        34               3273.3   -0.388713451898528
        35               3273.4   -0.389169806616321
        36               3273.5   -0.389612730635571
        37               3273.6   -0.389989929827724
        38               3273.7   -0.390477462649619
        39               3273.8   -0.391288747141241
        40               3273.9   -0.392428426170252
        41                 3274   -0.393615837418104
        42               3274.1   -0.394445571530863
        43               3274.2   -0.394640135556547
        44               3274.3   -0.394200772592493
        45               3274.4   -0.393372359836612
        46               3274.5   -0.392469435681452
        47               3274.6   -0.391689922001527
        48               3274.7   -0.391046693924629
        49               3274.8    -0.39044915974787
        50               3274.9   -0.389831331736792
        51                 3275   -0.389199269632288
        52               3275.1   -0.388590497266625
        53               3275.2     -0.3880388049094
        54               3275.3    -0.38759046542141
        55               3275.4   -0.387312994261044
        56               3275.5   -0.387239675004007
        57               3275.6   -0.387294730865978
        58               3275.7   -0.387292131484575
        59               3275.8   -0.387029326118002
        60               3275.9   -0.386405474544564
        61                 3276   -0.385486263704173
        62               3276.1   -0.384489965459384
        63               3276.2   -0.383702023904601
        64               3276.3   -0.383334104993132
        65               3276.4   -0.383383977357961
        66               3276.5   -0.383609084620431
        67               3276.6   -0.383689206992179
        68               3276.7   -0.383486934992695
        69               3276.8   -0.383178614952227
        70               3276.9   -0.383112275500131
        71                 3277   -0.383504341481081
        72               3277.1   -0.384246483687359
        73               3277.2   -0.384984093652993
        74               3277.3   -0.385370672432916
        75               3277.4   -0.385263156726891
        76               3277.5   -0.384721337625511
        77               3277.6   -0.383887148769445
        78               3277.7   -0.382921332354702
        79               3277.8   -0.382056591334895
        80               3277.9   -0.381626740988581
        81                 3278   -0.381918457899291
        82               3278.1   -0.382923848175722
        83               3278.2   -0.384260136216055
        84               3278.3    -0.38539078656565
        85               3278.4   -0.385967529267383
        86               3278.5   -0.385998600862388
        87               3278.6   -0.385748340176754
        88               3278.7   -0.385514254888458
        89               3278.8   -0.385457335514344
        90               3278.9   -0.385543803297965
        91                 3279   -0.385584469359333
        92               3279.1   -0.385357639031675
        93               3279.2   -0.384771291534365
        94               3279.3   -0.383957157987948
        95               3279.4   -0.383206941218215
        96               3279.5   -0.382790764279398
        97               3279.6   -0.382806802660481
